Time_s,ax_g,ay_g,az_g,wx_deg_s,wy_deg_s,wz_deg_s,AngleX_deg,AngleY_deg,AngleZ_deg,Label
01:38.3,1.0347,-0.4492,0.0107,-14.5874,19.4702,-3.6621,-88.6047,-84.0289,9.9701,lunge
01:38.4,1.042,-0.2412,0.0098,-23.0103,15.564,-16.6016,-79.4147,-83.8751,-0.9338,lunge
01:38.4,0.9556,0.0981,0.0859,15.9912,0.061,-8.4839,-78.2062,-84.9628,-4.6472,lunge
01:38.6,1.1021,-0.1787,-0.0508,-56.7017,-10.6812,-19.165,-89.2419,-86.2427,0.6042,lunge
01:38.6,1.147,-0.1631,-0.063,-2.0142,-7.7515,-1.0986,-103.8043,-86.0559,11.5741,lunge
01:38.8,0.6367,-0.3223,-0.377,159.4238,-102.478,16.6016,-94.9384,-84.8199,-0.3571,lunge
01:38.8,0.6587,0.1201,0.1016,-133.0566,10.6812,-5.7373,-86.1493,-86.2097,-5.9052,lunge
01:39.0,1.0972,0.2314,-0.0566,120.3003,20.0195,9.7656,-106.3696,-84.2267,10.9204,lunge
01:39.0,1.4771,-0.2422,-0.1294,-89.9048,-80.4443,4.5776,-112.8955,-84.9573,19.4128,lunge
01:39.2,1.3423,-0.0381,-0.126,66.8335,-4.3945,14.5874,-133.4894,-81.4087,37.2162,lunge
01:39.2,1.4048,-0.1621,-0.0918,4.6997,-9.8267,34.4849,-129.7266,-79.3048,35.2002,lunge
01:39.4,1.2085,0.0957,-0.1274,-17.334,-36.5601,66.5894,-123.9532,-74.7345,30.7672,lunge
01:39.5,0.6709,0.0117,0.0337,29.48,87.3413,-57.373,-122.1075,-73.8336,29.2456,lunge
01:39.5,0.6631,-0.4785,-0.1948,13.4277,29.3579,-99.6094,-113.2086,-83.8751,19.3579,lunge
01:39.7,0.6118,0.2559,-0.061,97.5952,30.7007,-103.0884,44.3518,-84.8969,-129.4299,lunge
01:39.7,0.3867,-0.1289,0.0332,-97.3511,-4.2725,-2.0752,60.249,-81.0297,-148.7714,lunge
01:39.9,1.2881,-0.0713,0.1084,-41.626,34.9121,38.7573,84.4629,-85.0287,179.209,lunge
01:40.1,1.0781,0.665,-0.3477,58.4717,-89.7217,-64.4531,138.5101,-87.1436,127.2437,lunge
01:40.1,0.9326,0.0889,0.0254,-131.3477,96.4355,-72.6929,62.5726,-76.1847,-158.5822,lunge
01:40.1,0.854,-0.0371,0.1826,56.7627,75.8057,-29.2969,51.5863,-68.67,-151.5454,lunge
01:40.3,0.5776,0.5298,0.2578,-36.499,42.0532,-13.2446,49.032,-64.0448,-144.4647,lunge
01:40.4,0.6538,0.457,0.3804,-31.7993,9.0942,-17.1509,46.4557,-61.3806,-143.4485,lunge
01:40.4,0.8535,0.1567,0.3965,-69.3359,-24.7192,-26.3672,44.2474,-60.3204,-145.6677,lunge
01:40.6,2.4395,-0.0317,0.8809,26.001,65.4297,5.249,43.0005,-58.4253,-144.6075,lunge
01:40.7,-0.4097,0.3735,0.3862,-28.8696,53.894,-11.2915,48.3124,-47.1918,-146.8433,lunge
01:40.9,0.6094,0.5405,0.3359,58.6548,40.3442,-72.2046,50.3229,-47.4445,-148.0518,lunge
01:40.9,1.4258,0.6582,0.356,10.6812,-4.6387,-18.2495,53.3881,-44.7913,-147.0245,lunge
01:41.1,0.7451,0.686,0.3354,-20.5078,3.2959,-38.147,55.6458,-42.6434,-149.7656,lunge
01:41.1,0.6855,0.7466,0.4624,-8.9722,13.6108,-25.5127,56.4862,-40.188,-150.8478,lunge
01:41.1,0.5732,0.7231,0.479,-22.4609,13.7329,-24.5361,55.1349,-37.3645,-150.5731,lunge
01:41.3,0.5439,0.7163,0.5327,-26.8555,21.4844,-15.8081,53.4869,-34.953,-149.5349,lunge
01:41.3,0.564,0.668,0.5767,-18.3105,22.8271,-6.897,50.7239,-32.6459,-146.9092,lunge
01:41.5,0.4375,0.8511,0.623,17.7002,-8.606,0,49.812,-31.5363,-144.4208,lunge
01:41.5,0.479,0.6538,0.6069,-6.2256,-4.3335,7.1411,49.3945,-31.8329,-143.8495,lunge
01:41.7,0.4941,0.7915,0.6563,25.5127,-42.3584,13.1226,51.1194,-33.9752,-144.3933,lunge
01:41.8,0.6812,0.8472,0.5605,26.5503,-56.0303,39.7339,55.47,-38.584,-146.25,lunge
01:41.9,0.7715,0.7578,0.4419,57.6782,-55.7861,76.2939,61.4136,-46.1646,-147.3596,lunge
01:41.9,0.8306,0.688,0.2158,52.7344,-35.3394,124.1455,67.5165,-56.7773,-146.0797,lunge
01:42.1,0.8535,0.1587,0.1138,-47.6685,-68.1152,64.0869,66.9012,-67.8625,-148.0627,lunge
01:42.1,0.4473,0.0352,0.0596,-8.1787,-33.6304,93.75,59.5349,-76.8658,-143.5474,lunge
01:42.3,0.7886,0.1499,0.0146,-27.9541,-13.2446,45.8984,62.4957,-83.7488,-147.0245,lunge
